"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","472.7","100.0","0.3","461.3","100.0","0.3","-11.4","-2.4","","0"
"Management occupations","=""11-0000""","Summary","30.4","6.4","0.2","30.8","6.7","0.2","0.4","1.3","2","1"
"Top executives","=""11-1000""","Summary","10.9","2.3","0.3","10.9","2.4","0.3","0.0","-0.1","3","2"
"Chief executives","=""11-1011""","Line Item","0.6","0.1","0.2","0.5","0.1","0.2","-0.1","-14.4","4","3"
"General and operations managers","=""11-1021""","Line Item","10.4","2.2","0.3","10.4","2.3","0.3","0.1","0.7","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","3.4","0.7","0.3","3.4","0.7","0.3","0.0","0.7","7","2"
"Marketing and sales managers","=""11-2020""","Summary","3.3","0.7","0.4","3.3","0.7","0.3","0.0","0.7","9","3"
"Marketing managers","=""11-2021""","Line Item","0.8","0.2","0.2","0.8","0.2","0.2","0.0","0.7","10","4"
"Sales managers","=""11-2022""","Line Item","2.5","0.5","0.5","2.6","0.6","0.4","0.0","0.7","11","4"
"Operations specialties managers","=""11-3000""","Summary","12.7","2.7","0.5","13.0","2.8","0.5","0.4","2.8","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.8","0.2","0.2","0.8","0.2","0.2","0.0","0.7","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.4","0.1","0.2","0.4","0.1","0.2","0.0","0.7","17","4"
"Facilities managers","=""11-3013""","Line Item","0.4","0.1","0.3","0.4","0.1","0.3","0.0","0.7","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","0.8","0.2","0.1","0.9","0.2","0.1","0.1","7.8","19","3"
"Financial managers","=""11-3031""","Line Item","2.1","0.4","0.3","2.3","0.5","0.3","0.2","10.8","20","3"
"Industrial production managers","=""11-3051""","Line Item","6.6","1.4","3.0","6.6","1.4","2.9","0.0","0.7","21","3"
"Purchasing managers","=""11-3061""","Line Item","0.8","0.2","1.1","0.9","0.2","1.1","0.0","0.7","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","0.6","0.1","0.4","0.6","0.1","0.3","0.0","0.7","23","3"
"Human resources managers","=""11-3121""","Line Item","0.8","0.2","0.4","0.8","0.2","0.4","0.0","0.7","25","3"
"Training and development managers","=""11-3131""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.7","26","3"
"Other management occupations","=""11-9000""","Summary","3.4","0.7","0.1","3.5","0.7","0.1","0.0","0.9","27","2"
"Construction managers","=""11-9021""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.7","29","3"
"Architectural and engineering managers","=""11-9041""","Line Item","2.3","0.5","1.1","2.3","0.5","1.1","0.0","0.7","35","3"
"Managers, all other","=""11-9199""","Line Item","1.0","0.2","0.1","1.0","0.2","0.1","0.0","0.7","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","21.2","4.5","0.2","21.0","4.5","0.2","-0.2","-1.0","51","1"
"Business operations specialists","=""13-1000""","Summary","16.5","3.5","0.2","16.3","3.5","0.2","-0.2","-1.4","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","4.8","1.0","1.0","4.4","1.0","1.0","-0.5","-9.4","54","3"
"Compliance officers","=""13-1041""","Line Item","0.5","0.1","0.1","0.5","0.1","0.1","0.0","0.7","58","3"
"Cost estimators","=""13-1051""","Line Item","1.6","0.3","0.7","1.5","0.3","0.7","-0.1","-4.3","59","3"
"Human resources workers","=""13-1070""","Summary","2.6","0.5","0.3","2.5","0.5","0.3","0.0","-1.3","60","3"
"Human resources specialists","=""13-1071""","Line Item","2.5","0.5","0.3","2.5","0.5","0.3","0.0","-1.3","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","3.2","0.7","0.3","3.4","0.7","0.3","0.2","5.7","64","3"
"Logisticians","=""13-1081""","Line Item","1.3","0.3","0.6","1.5","0.3","0.6","0.2","12.8","65","4"
"Project management specialists","=""13-1082""","Line Item","1.9","0.4","0.2","1.9","0.4","0.2","0.0","0.7","66","4"
"Management analysts","=""13-1111""","Line Item","0.4","0.1","0.0","0.4","0.1","0.0","0.0","0.7","67","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.7","70","3"
"Training and development specialists","=""13-1151""","Line Item","0.7","0.1","0.2","0.7","0.1","0.2","0.0","0.7","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","1.6","0.3","0.2","1.7","0.4","0.2","0.1","7.8","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","1.0","0.2","0.1","1.0","0.2","0.1","0.0","0.7","73","3"
"Financial specialists","=""13-2000""","Summary","4.7","1.0","0.1","4.7","1.0","0.1","0.0","0.5","74","2"
"Accountants and auditors","=""13-2011""","Line Item","4.1","0.9","0.3","4.1","0.9","0.3","0.0","0.7","75","3"
"Credit analysts","=""13-2041""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-9.4","78","3"
"Financial analysts and advisors","=""13-2050""","Summary","0.4","0.1","0.0","0.4","0.1","0.0","0.0","0.7","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","0.3","0.1","0.1","0.3","0.1","0.1","0.0","0.7","80","4"
"Financial specialists, all other","=""13-2099""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.7","91","3"
"Computer and mathematical occupations","=""15-0000""","Summary","5.3","1.1","0.1","5.5","1.2","0.1","0.2","2.9","92","1"
"Computer occupations","=""15-1200""","Summary","5.1","1.1","0.1","5.2","1.1","0.1","0.1","2.2","93","2"
"Computer and information analysts","=""15-1210""","Summary","0.8","0.2","0.1","0.8","0.2","0.1","0.0","3.6","94","3"
"Computer systems analysts","=""15-1211""","Line Item","0.7","0.1","0.1","0.7","0.1","0.1","0.0","0.7","95","4"
"Information security analysts","=""15-1212""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","19.8","96","4"
"Computer support specialists","=""15-1230""","Summary","1.1","0.2","0.1","1.1","0.2","0.1","0.0","-2.7","98","3"
