"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","492.3","100.0","0.3","500.9","100.0","0.3","8.6","1.7","","0"
"Management occupations","=""11-0000""","Summary","27.5","5.6","0.2","29.0","5.8","0.2","1.6","5.7","2","1"
"Top executives","=""11-1000""","Summary","13.2","2.7","0.3","13.8","2.8","0.3","0.6","4.6","3","2"
"Chief executives","=""11-1011""","Line Item","0.5","0.1","0.2","0.4","0.1","0.2","-0.1","-10.6","4","3"
"General and operations managers","=""11-1021""","Line Item","12.7","2.6","0.4","13.4","2.7","0.4","0.7","5.2","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","2.1","0.4","0.2","2.2","0.4","0.2","0.1","5.2","7","2"
"Marketing and sales managers","=""11-2020""","Summary","2.1","0.4","0.2","2.2","0.4","0.2","0.1","5.2","9","3"
"Marketing managers","=""11-2021""","Line Item","0.3","0.1","0.1","0.4","0.1","0.1","0.0","5.2","10","4"
"Sales managers","=""11-2022""","Line Item","1.7","0.4","0.3","1.8","0.4","0.3","0.1","5.2","11","4"
"Operations specialties managers","=""11-3000""","Summary","10.0","2.0","0.4","10.8","2.1","0.4","0.7","7.1","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.7","0.1","0.2","0.7","0.1","0.2","0.0","5.2","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.4","0.1","0.2","0.5","0.1","0.2","0.0","5.2","17","4"
"Facilities managers","=""11-3013""","Line Item","0.2","0.1","0.2","0.3","0.1","0.2","0.0","5.2","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","0.4","0.1","0.1","0.5","0.1","0.1","0.1","12.6","19","3"
"Financial managers","=""11-3031""","Line Item","1.5","0.3","0.2","1.7","0.3","0.2","0.2","15.7","20","3"
"Industrial production managers","=""11-3051""","Line Item","6.3","1.3","2.8","6.6","1.3","2.9","0.3","5.2","21","3"
"Purchasing managers","=""11-3061""","Line Item","0.5","0.1","0.6","0.5","0.1","0.6","0.0","5.2","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","0.3","0.1","0.2","0.3","0.1","0.2","0.0","5.2","23","3"
"Human resources managers","=""11-3121""","Line Item","0.4","0.1","0.2","0.4","0.1","0.2","0.0","5.2","25","3"
"Other management occupations","=""11-9000""","Summary","2.1","0.4","0.0","2.2","0.4","0.0","0.1","6.1","27","2"
"Construction managers","=""11-9021""","Line Item","0.4","0.1","0.1","0.4","0.1","0.1","0.0","10.5","29","3"
"Architectural and engineering managers","=""11-9041""","Line Item","1.2","0.2","0.6","1.2","0.2","0.6","0.1","5.2","35","3"
"Managers, all other","=""11-9199""","Line Item","0.6","0.1","0.0","0.6","0.1","0.0","0.0","5.2","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","25.0","5.1","0.2","25.6","5.1","0.2","0.6","2.4","51","1"
"Business operations specialists","=""13-1000""","Summary","21.0","4.3","0.3","21.4","4.3","0.3","0.4","1.9","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","4.2","0.9","0.9","4.0","0.8","0.9","-0.2","-5.3","54","3"
"Compliance officers","=""13-1041""","Line Item","0.3","0.1","0.1","0.3","0.1","0.1","0.0","5.2","58","3"
"Cost estimators","=""13-1051""","Line Item","6.4","1.3","2.8","6.4","1.3","2.9","0.0","0.0","59","3"
"Human resources workers","=""13-1070""","Summary","2.1","0.4","0.2","2.2","0.4","0.2","0.1","3.1","60","3"
"Human resources specialists","=""13-1071""","Line Item","2.1","0.4","0.2","2.2","0.4","0.2","0.1","3.1","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","5.5","1.1","0.5","5.9","1.2","0.5","0.4","6.4","64","3"
"Logisticians","=""13-1081""","Line Item","0.5","0.1","0.3","0.6","0.1","0.3","0.1","17.8","65","4"
"Project management specialists","=""13-1082""","Line Item","5.0","1.0","0.6","5.3","1.1","0.6","0.3","5.2","66","4"
"Management analysts","=""13-1111""","Line Item","0.2","0.0","0.0","0.2","0.0","0.0","0.0","5.2","67","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.2","70","3"
"Training and development specialists","=""13-1151""","Line Item","0.4","0.1","0.1","0.4","0.1","0.1","0.0","5.2","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","0.8","0.2","0.1","0.9","0.2","0.1","0.1","12.6","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","1.0","0.2","0.1","1.0","0.2","0.1","0.1","5.2","73","3"
"Financial specialists","=""13-2000""","Summary","4.0","0.8","0.1","4.2","0.8","0.1","0.2","5.1","74","2"
"Accountants and auditors","=""13-2011""","Line Item","3.8","0.8","0.2","4.0","0.8","0.2","0.2","5.2","75","3"
"Credit analysts","=""13-2041""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-5.3","78","3"
"Financial analysts and advisors","=""13-2050""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.2","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.2","80","4"
"Computer and mathematical occupations","=""15-0000""","Summary","3.2","0.6","0.1","3.4","0.7","0.1","0.2","5.5","92","1"
"Computer occupations","=""15-1200""","Summary","3.1","0.6","0.1","3.3","0.7","0.1","0.2","4.9","93","2"
"Computer and information analysts","=""15-1210""","Summary","0.3","0.1","0.0","0.3","0.1","0.0","0.0","7.5","94","3"
"Computer systems analysts","=""15-1211""","Line Item","0.2","0.1","0.0","0.3","0.1","0.0","0.0","5.2","95","4"
"Computer support specialists","=""15-1230""","Summary","0.8","0.2","0.1","0.8","0.2","0.1","0.0","1.7","98","3"
"Computer network support specialists","=""15-1231""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.2","99","4"
"Computer user support specialists","=""15-1232""","Line Item","0.7","0.1","0.1","0.7","0.1","0.1","0.0","1.0","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","0.7","0.1","0.1","0.7","0.1","0.1","0.0","1.0","101","3"
"Computer network architects","=""15-1241""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.0","102","4"
"Database administrators","=""15-1242""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.2","103","4"
"Network and computer systems administrators","=""15-1244""","Line Item","0.5","0.1","0.1","0.5","0.1","0.1","0.0","0.0","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","1.1","0.2","0.1","1.2","0.2","0.0","0.1","9.2","106","3"
"Computer programmers","=""15-1251""","Line Item","0.3","0.1","0.2","0.3","0.1","0.2","0.0","-13.7","107","4"
"Software developers","=""15-1252""","Line Item","0.5","0.1","0.0","0.6","0.1","0.0","0.1","21.0","108","4"
"Software quality assurance analysts and testers","=""15-1253""","Line Item","0.1","0.0","0.1","0.1","0.0","0.0","0.0","15.7","109","4"
"Web developers","=""15-1254""","Line Item","0.1","0.0","0.1","0.2","0.0","0.1","0.0","15.7","110","4"
