"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","1,472.2","100.0","0.9","1,441.2","100.0","0.9","-31.0","-2.1","","0"
"Management occupations","=""11-0000""","Summary","140.7","9.6","1.1","141.7","9.8","1.1","0.9","0.7","2","1"
"Top executives","=""11-1000""","Summary","78.7","5.3","2.1","78.4","5.4","2.0","-0.4","-0.5","3","2"
"Chief executives","=""11-1011""","Line Item","2.3","0.2","0.8","2.0","0.1","0.8","-0.4","-15.0","4","3"
"General and operations managers","=""11-1021""","Line Item","76.4","5.2","2.2","76.4","5.3","2.1","0.0","0.0","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","29.0","2.0","2.8","29.0","2.0","2.6","0.0","0.0","7","2"
"Advertising and promotions managers","=""11-2011""","Line Item","0.2","0.0","0.5","0.2","0.0","0.5","0.0","0.0","8","3"
"Marketing and sales managers","=""11-2020""","Summary","28.7","1.9","3.1","28.7","2.0","3.0","0.0","0.0","9","3"
"Marketing managers","=""11-2021""","Line Item","6.4","0.4","1.8","6.4","0.4","1.7","0.0","0.0","10","4"
"Sales managers","=""11-2022""","Line Item","22.3","1.5","4.0","22.3","1.5","3.9","0.0","0.0","11","4"
"Public relations and fundraising managers","=""11-2030""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.0","12","3"
"Public relations managers","=""11-2032""","Line Item","0.1","0.0","0.2","0.1","0.0","0.1","0.0","0.0","13","4"
"Operations specialties managers","=""11-3000""","Summary","27.5","1.9","1.1","28.8","2.0","1.1","1.3","4.8","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","2.3","0.2","0.6","2.3","0.2","0.6","0.0","0.0","16","3"
"Administrative services managers","=""11-3012""","Line Item","1.7","0.1","0.7","1.7","0.1","0.6","0.0","0.0","17","4"
"Facilities managers","=""11-3013""","Line Item","0.7","0.0","0.5","0.7","0.0","0.5","0.0","0.0","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","3.8","0.3","0.7","4.1","0.3","0.6","0.3","7.0","19","3"
"Financial managers","=""11-3031""","Line Item","7.0","0.5","0.9","7.7","0.5","0.8","0.7","10.0","20","3"
"Industrial production managers","=""11-3051""","Line Item","3.7","0.3","1.7","3.7","0.3","1.6","0.0","0.0","21","3"
"Purchasing managers","=""11-3061""","Line Item","2.1","0.1","2.7","2.1","0.1","2.6","0.0","0.0","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","7.0","0.5","4.0","7.4","0.5","3.8","0.3","5.0","23","3"
"Human resources managers","=""11-3121""","Line Item","1.3","0.1","0.7","1.3","0.1","0.6","0.0","0.0","25","3"
"Training and development managers","=""11-3131""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","0.0","26","3"
"Other management occupations","=""11-9000""","Summary","5.5","0.4","0.1","5.5","0.4","0.1","0.0","0.6","27","2"
"Architectural and engineering managers","=""11-9041""","Line Item","1.6","0.1","0.8","1.6","0.1","0.7","0.0","0.0","35","3"
"Managers, all other","=""11-9199""","Line Item","3.2","0.2","0.3","3.2","0.2","0.3","0.0","0.0","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","97.8","6.6","0.9","96.7","6.7","0.9","-1.2","-1.2","51","1"
"Business operations specialists","=""13-1000""","Summary","78.3","5.3","1.1","77.3","5.4","1.0","-1.0","-1.3","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","20.0","1.4","4.0","18.0","1.2","3.9","-2.0","-10.0","54","3"
"Compliance officers","=""13-1041""","Line Item","1.0","0.1","0.3","1.0","0.1","0.2","0.0","0.0","58","3"
"Cost estimators","=""13-1051""","Line Item","7.6","0.5","3.3","7.2","0.5","3.2","-0.4","-5.0","59","3"
"Human resources workers","=""13-1070""","Summary","5.6","0.4","0.6","5.5","0.4","0.6","-0.1","-2.0","60","3"
"Human resources specialists","=""13-1071""","Line Item","5.6","0.4","0.6","5.5","0.4","0.6","-0.1","-2.0","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","20.1","1.4","1.8","20.7","1.4","1.7","0.5","2.7","64","3"
"Logisticians","=""13-1081""","Line Item","4.6","0.3","2.2","5.1","0.4","2.1","0.5","12.0","65","4"
"Project management specialists","=""13-1082""","Line Item","15.5","1.1","1.8","15.5","1.1","1.7","0.0","0.0","66","4"
"Management analysts","=""13-1111""","Line Item","1.5","0.1","0.2","1.5","0.1","0.1","0.0","0.0","67","3"
"Meeting, convention, and event planners","=""13-1121""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.0","68","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","0.3","0.0","0.3","0.3","0.0","0.3","0.0","0.0","70","3"
"Training and development specialists","=""13-1151""","Line Item","1.8","0.1","0.5","1.8","0.1","0.4","0.0","0.0","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","13.3","0.9","1.5","14.2","1.0","1.4","0.9","7.0","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","7.0","0.5","0.6","7.0","0.5","0.6","0.0","0.0","73","3"
"Financial specialists","=""13-2000""","Summary","19.5","1.3","0.6","19.4","1.3","0.6","-0.1","-0.7","74","2"
"Accountants and auditors","=""13-2011""","Line Item","16.8","1.1","1.1","16.8","1.2","1.0","0.0","0.0","75","3"
"Property appraisers and assessors","=""13-2020""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.0","76","3"
"Budget analysts","=""13-2031""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","0.0","77","3"
"Credit analysts","=""13-2041""","Line Item","1.3","0.1","1.8","1.2","0.1","1.7","-0.1","-10.0","78","3"
"Financial analysts and advisors","=""13-2050""","Summary","1.0","0.1","0.1","1.0","0.1","0.1","0.0","0.0","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","0.9","0.1","0.3","0.9","0.1","0.3","0.0","0.0","80","4"
"Financial risk specialists","=""13-2054""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.0","83","4"
"Financial specialists, all other","=""13-2099""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","0.0","91","3"
"Computer and mathematical occupations","=""15-0000""","Summary","30.3","2.1","0.6","31.5","2.2","0.5","1.2","3.9","92","1"
"Computer occupations","=""15-1200""","Summary","29.2","2.0","0.6","30.2","2.1","0.5","1.0","3.3","93","2"
"Computer and information analysts","=""15-1210""","Summary","2.3","0.2","0.3","2.4","0.2","0.3","0.1","3.8","94","3"
"Computer systems analysts","=""15-1211""","Line Item","1.9","0.1","0.4","1.9","0.1","0.3","0.0","0.0","95","4"
"Information security analysts","=""15-1212""","Line Item","0.5","0.0","0.3","0.6","0.0","0.3","0.1","19.0","96","4"
"Computer support specialists","=""15-1230""","Summary","8.7","0.6","0.9","8.4","0.6","0.9","-0.3","-3.2","98","3"
"Computer network support specialists","=""15-1231""","Line Item","1.9","0.1","1.0","1.9","0.1","1.0","0.0","0.0","99","4"
"Computer user support specialists","=""15-1232""","Line Item","6.8","0.5","0.9","6.5","0.5","0.8","-0.3","-4.0","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","4.2","0.3","0.6","4.0","0.3","0.6","-0.2","-4.0","101","3"
"Computer network architects","=""15-1241""","Line Item","0.5","0.0","0.3","0.5","0.0","0.3","0.0","-5.0","102","4"
"Database administrators","=""15-1242""","Line Item","0.5","0.0","0.6","0.5","0.0","0.6","0.0","0.0","103","4"
"Database architects","=""15-1243""","Line Item","0.3","0.0","0.5","0.3","0.0","0.5","0.0","0.0","104","4"
"Network and computer systems administrators","=""15-1244""","Line Item","2.8","0.2","0.8","2.6","0.2","0.8","-0.1","-5.0","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","11.5","0.8","0.5","12.8","0.9","0.5","1.3","11.5","106","3"
"Computer programmers","=""15-1251""","Line Item","0.7","0.0","0.5","0.6","0.0","0.4","-0.1","-18.0","107","4"
"Software developers","=""15-1252""","Line Item","7.3","0.5","0.5","8.4","0.6","0.4","1.1","15.0","108","4"
"Software quality assurance analysts and testers","=""15-1253""","Line Item","0.9","0.1","0.4","0.9","0.1","0.4","0.1","10.0","109","4"
"Web developers","=""15-1254""","Line Item","1.3","0.1","1.3","1.4","0.1","1.2","0.1","10.0","110","4"
"Web and digital interface designers","=""15-1255""","Line Item","1.4","0.1","1.2","1.5","0.1","1.1","0.1","10.0","111","4"
"Computer occupations, all other","=""15-1299""","Line Item","2.5","0.2","0.6","2.5","0.2","0.5","0.0","0.0","112","3"
"Mathematical science occupations","=""15-2000""","Summary","1.1","0.1","0.3","1.3","0.1","0.3","0.2","20.1","113","2"
"Operations research analysts","=""15-2031""","Line Item","0.5","0.0","0.5","0.6","0.0","0.5","0.1","15.0","116","3"
"Data scientists","=""15-2051""","Line Item","0.6","0.0","0.3","0.7","0.0","0.3","0.1","25.0","118","3"
"Architecture and engineering occupations","=""17-0000""","Summary","17.6","1.2","0.7","18.0","1.2","0.7","0.4","2.0","120","1"
"Engineers","=""17-2000""","Summary","13.0","0.9","0.8","13.5","0.9","0.7","0.5","3.5","128","2"
"Computer hardware engineers","=""17-2061""","Line Item","0.6","0.0","0.7","0.6","0.0","0.7","0.0","0.0","134","3"
"Electrical and electronics engineers","=""17-2070""","Summary","4.5","0.3","1.5","4.5","0.3","1.4","0.0","0.0","135","3"
"Electrical engineers","=""17-2071""","Line Item","1.9","0.1","1.0","1.9","0.1","1.0","0.0","0.0","136","4"
"Electronics engineers, except computer","=""17-2072""","Line Item","2.5","0.2","2.3","2.5","0.2","2.1","0.0","0.0","137","4"
"Industrial engineers, including health and safety","=""17-2110""","Summary","3.4","0.2","1.0","3.7","0.3","1.0","0.3","8.5","139","3"
"Health and safety engineers, except mining safety engineers and inspectors","=""17-2111""","Line Item","0.2","0.0","0.7","0.2","0.0","0.7","0.0","0.0","140","4"
"Industrial engineers","=""17-2112""","Line Item","3.2","0.2","1.0","3.5","0.2","1.0","0.3","9.0","141","4"
"Materials engineers","=""17-2131""","Line Item","0.3","0.0","1.6","0.3","0.0","1.5","0.0","0.0","143","3"
"Mechanical engineers","=""17-2141""","Line Item","2.2","0.1","0.8","2.4","0.2","0.7","0.2","8.0","144","3"
"Engineers, all other","=""17-2199""","Line Item","1.6","0.1","0.9","1.6","0.1","0.9","0.0","0.0","148","3"
"Drafters, engineering technicians, and mapping technicians","=""17-3000""","Summary","4.6","0.3","0.7","4.4","0.3","0.7","-0.1","-2.4","149","2"
"Drafters","=""17-3010""","Summary","2.2","0.1","1.1","2.1","0.1","1.1","-0.1","-4.8","150","3"
"Architectural and civil drafters","=""17-3011""","Line Item","0.6","0.0","0.6","0.6","0.0","0.6","0.0","0.0","151","4"
"Electrical and electronics drafters","=""17-3012""","Line Item","0.5","0.0","2.3","0.5","0.0","2.2","0.0","0.0","152","4"
"Mechanical drafters","=""17-3013""","Line Item","0.7","0.0","1.3","0.6","0.0","1.3","-0.1","-10.0","153","4"
"Drafters, all other","=""17-3019""","Line Item","0.4","0.0","2.0","0.3","0.0","2.0","0.0","-10.0","154","4"
"Engineering technologists and technicians, except drafters","=""17-3020""","Summary","2.3","0.2","0.6","2.3","0.2","0.6","0.0","-0.2","155","3"
"Electrical and electronic engineering technologists and technicians","=""17-3023""","Line Item","1.4","0.1","1.3","1.4","0.1","1.3","0.0","0.0","158","4"
"Industrial engineering technologists and technicians","=""17-3026""","Line Item","0.4","0.0","0.6","0.4","0.0","0.6","0.0","0.0","161","4"
"Mechanical engineering technologists and technicians","=""17-3027""","Line Item","0.3","0.0","0.7","0.3","0.0","0.7","0.0","0.0","162","4"
"Engineering technologists and technicians, except drafters, all other","=""17-3029""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.0","164","4"
"Life, physical, and social science occupations","=""19-0000""","Summary","1.4","0.1","0.1","1.5","0.1","0.1","0.1","6.5","166","1"
"Life scientists","=""19-1000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.0","167","2"
"Conservation scientists and foresters","=""19-1030""","Summary","0.1","0.0","0.3","0.1","0.0","0.2","0.0","0.0","177","3"
"Foresters","=""19-1032""","Line Item","0.1","0.0","0.8","0.1","0.0","0.8","0.0","0.0","179","4"
"Physical scientists","=""19-2000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.4","184","2"
"Life, physical, and social science technicians","=""19-4000""","Summary","0.3","0.0","0.1","0.3","0.0","0.1","0.0","0.0","213","2"
"Chemical technicians","=""19-4031""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","0.0","218","3"
"Miscellaneous life, physical, and social science technicians","=""19-4090""","Summary","0.2","0.0","0.2","0.2","0.0","0.2","0.0","0.0","226","3"
"Life, physical, and social science technicians, all other","=""19-4099""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","0.0","228","4"
