"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","101.3","100.0","0.1","103.4","100.0","0.1","2.1","2.1","","0"
"Management occupations","=""11-0000""","Summary","6.3","6.3","0.1","6.7","6.5","0.1","0.4","5.6","2","1"
"Top executives","=""11-1000""","Summary","3.9","3.8","0.1","4.1","3.9","0.1","0.2","4.9","3","2"
"General and operations managers","=""11-1021""","Line Item","3.8","3.8","0.1","4.0","3.9","0.1","0.2","5.1","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","0.4","0.4","0.0","0.4","0.4","0.0","0.0","5.1","7","2"
"Marketing and sales managers","=""11-2020""","Summary","0.4","0.3","0.0","0.4","0.4","0.0","0.0","5.1","9","3"
"Marketing managers","=""11-2021""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","5.1","10","4"
"Sales managers","=""11-2022""","Line Item","0.3","0.3","0.1","0.3","0.3","0.1","0.0","5.1","11","4"
"Operations specialties managers","=""11-3000""","Summary","1.4","1.4","0.1","1.5","1.4","0.1","0.1","7.4","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.3","0.3","0.1","0.3","0.3","0.1","0.0","5.1","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","5.1","17","4"
"Facilities managers","=""11-3013""","Line Item","0.2","0.2","0.2","0.2","0.2","0.2","0.0","5.1","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","12.4","19","3"
"Financial managers","=""11-3031""","Line Item","0.3","0.3","0.0","0.3","0.3","0.0","0.0","15.6","20","3"
"Industrial production managers","=""11-3051""","Line Item","0.2","0.2","0.1","0.3","0.3","0.1","0.0","5.1","21","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","0.3","0.3","0.2","0.3","0.3","0.2","0.0","5.1","23","3"
"Human resources managers","=""11-3121""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","5.1","25","3"
"Other management occupations","=""11-9000""","Summary","0.7","0.7","0.0","0.8","0.8","0.0","0.0","6.3","27","2"
"Construction managers","=""11-9021""","Line Item","0.2","0.2","0.0","0.2","0.2","0.0","0.0","10.3","29","3"
"Architectural and engineering managers","=""11-9041""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","5.1","35","3"
"Managers, all other","=""11-9199""","Line Item","0.4","0.4","0.0","0.4","0.4","0.0","0.0","5.1","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","3.1","3.0","0.0","3.2","3.1","0.0","0.1","4.8","51","1"
"Business operations specialists","=""13-1000""","Summary","2.2","2.2","0.0","2.3","2.2","0.0","0.1","4.7","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","0.2","0.2","0.0","0.2","0.2","0.0","0.0","-5.5","54","3"
"Compliance officers","=""13-1041""","Line Item","0.4","0.4","0.1","0.4","0.4","0.1","0.0","5.1","58","3"
"Human resources workers","=""13-1070""","Summary","0.3","0.3","0.0","0.3","0.3","0.0","0.0","3.0","60","3"
"Human resources specialists","=""13-1071""","Line Item","0.3","0.3","0.0","0.3","0.3","0.0","0.0","3.0","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","0.5","0.5","0.0","0.6","0.5","0.0","0.0","6.9","64","3"
"Logisticians","=""13-1081""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","17.7","65","4"
"Project management specialists","=""13-1082""","Line Item","0.5","0.4","0.1","0.5","0.5","0.1","0.0","5.1","66","4"
"Training and development specialists","=""13-1151""","Line Item","0.2","0.2","0.0","0.2","0.2","0.0","0.0","5.1","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","0.2","0.2","0.0","0.2","0.2","0.0","0.0","12.4","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","0.3","0.3","0.0","0.3","0.3","0.0","0.0","5.1","73","3"
"Financial specialists","=""13-2000""","Summary","0.9","0.9","0.0","0.9","0.9","0.0","0.0","5.1","74","2"
"Accountants and auditors","=""13-2011""","Line Item","0.8","0.8","0.1","0.8","0.8","0.1","0.0","5.1","75","3"
"Financial analysts and advisors","=""13-2050""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","5.1","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","5.1","80","4"
"Computer and mathematical occupations","=""15-0000""","Summary","0.5","0.5","0.0","0.6","0.5","0.0","0.0","4.4","92","1"
"Computer occupations","=""15-1200""","Summary","0.5","0.5","0.0","0.5","0.5","0.0","0.0","4.1","93","2"
"Computer support specialists","=""15-1230""","Summary","0.2","0.2","0.0","0.2","0.2","0.0","0.0","1.0","98","3"
"Computer user support specialists","=""15-1232""","Line Item","0.2","0.2","0.0","0.2","0.2","0.0","0.0","0.9","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","1.8","101","3"
"Network and computer systems administrators","=""15-1244""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-0.2","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","11.6","106","3"
"Software developers","=""15-1252""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","20.8","108","4"
"Computer occupations, all other","=""15-1299""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","5.1","112","3"
"Architecture and engineering occupations","=""17-0000""","Summary","1.8","1.8","0.1","1.9","1.9","0.1","0.1","6.4","120","1"
"Engineers","=""17-2000""","Summary","1.3","1.3","0.1","1.4","1.4","0.1","0.1","8.4","128","2"
"Chemical engineers","=""17-2041""","Line Item","0.1","0.1","0.3","0.1","0.1","0.3","0.0","5.1","132","3"
"Civil engineers","=""17-2051""","Line Item","0.2","0.2","0.1","0.2","0.2","0.1","0.0","5.1","133","3"
"Electrical and electronics engineers","=""17-2070""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","5.1","135","3"
"Electrical engineers","=""17-2071""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","5.1","136","4"
"Environmental engineers","=""17-2081""","Line Item","0.2","0.2","0.5","0.2","0.2","0.5","0.0","6.1","138","3"
"Industrial engineers, including health and safety","=""17-2110""","Summary","0.2","0.2","0.1","0.2","0.2","0.1","0.0","12.5","139","3"
"Industrial engineers","=""17-2112""","Line Item","0.2","0.2","0.0","0.2","0.2","0.0","0.0","14.5","141","4"
"Mechanical engineers","=""17-2141""","Line Item","0.3","0.3","0.1","0.3","0.3","0.1","0.0","13.5","144","3"
"Drafters, engineering technicians, and mapping technicians","=""17-3000""","Summary","0.5","0.5","0.1","0.5","0.5","0.1","0.0","1.3","149","2"
"Engineering technologists and technicians, except drafters","=""17-3020""","Summary","0.5","0.5","0.1","0.5","0.5","0.1","0.0","1.2","155","3"
"Environmental engineering technologists and technicians","=""17-3025""","Line Item","0.4","0.4","3.1","0.4","0.4","3.1","0.0","0.9","160","4"
"Life, physical, and social science occupations","=""19-0000""","Summary","2.1","2.0","0.1","2.2","2.1","0.1","0.2","7.8","166","1"
"Physical scientists","=""19-2000""","Summary","0.8","0.8","0.3","0.9","0.8","0.3","0.0","5.3","184","2"
"Chemists and materials scientists","=""19-2030""","Summary","0.6","0.6","0.7","0.7","0.6","0.7","0.0","5.1","189","3"
"Chemists","=""19-2031""","Line Item","0.6","0.6","0.7","0.7","0.6","0.7","0.0","5.1","190","4"
"Environmental scientists and geoscientists","=""19-2040""","Summary","0.2","0.2","0.2","0.2","0.2","0.2","0.0","6.0","192","3"
"Environmental scientists and specialists, including health","=""19-2041""","Line Item","0.2","0.2","0.2","0.2","0.2","0.2","0.0","6.1","193","4"
